eventReceivedTimestamp,dedupedEventCount,failedEventCount,deliveredNestedEventCount
1545174000000,115823727,720015,112618564
1545177600000,103513414,647734,100466167
1545181200000,95156601,615783,91999142
1545184800000,87839565,588570,84758980
1545188400000,80492281,549455,77507988
1545192000000,71771175,497096,68983072
1545195600000,65354856,416269,62812081
1545199200000,62028149,355464,59701823
1545202800000,57097672,320843,54932193
1545206400000,53537118,291033,51490319
1545210000000,49281226,280844,47309072
1545213600000,51026636,302746,48162476
1545217200000,61988640,359890,57341282
1545220800000,83038339,464446,75899635
1545224400000,94193596,171173,39394171
1545228000000,89140733
1545231600000,1297491
1545235200000,92
1537736400000,87366755,1586508,84738923
1537740000000,85526215,1570846,82931396
1537743600000,83159263,1509837,80657125
1537747200000,80472158,1444214,78064238
1537750800000,75954314,1390827,73642796
1537754400000,70479066,1342803,68289810
1537758000000,63332156,1249293,61334700
1537761600000,58244025,1044726,56537963
1537765200000,57194516,989858,55550371
1537768800000,52517322,986640,50972243
1537772400000,48729923,908873,47329065
1537776000000,43019420,815854,41793941
1537779600000,44395721,842820,43111335
1537783200000,55526098,1023477,53888164
1537786800000,76547486,1304068,74326724
1537790400000,86536284,1513539,84017591
1537794000000,89009003,1442464,86514511
1537797600000,97457258,1564184,94698381
1537801200000,102113893,1624918,99242056
1537804800000,103158503,1532172,100368955
1537808400000,100898746,1575809,98091093
1537812000000,101998415,709015,99152679
1537815600000,102491711,625841,99504870
1537819200000,101647353,654349,98698630
1537822800000,102831805,681603,99837159
1537826400000,100882550,668351,97795779
1537830000000,94155597,595206,91231015
1537833600000,87135558,589860,84252422
1537837200000,79988302,545295,77356043
1537840800000,71677487,481120,69259023
1537844400000,62748869,423233,60608637
1537848000000,56911333,356568,55016438
1537851600000,56030874,314202,54279827
1537855200000,51368662,252736,49775427
1537858800000,47819456,234667,46385153
1537862400000,42310298,199401,41030089
1537866000000,44343208,210658,43008821
1537869600000,56179091,277349,54408499
1537873200000,78373372,415181,75760611
1537876800000,88543621,484009,85524313
1537880400000,91093362,489704,88034365
1537884000000,99694483,520621,96238937
1537887600000,103243781,553839,99610988
1537891200000,103686015,578690,99965343
1537894800000,100174721,547973,96077067
1537898400000,100693200,542610,93492200
1537902000000,101786940,599892,93240252
1537905600000,101244470,295269,73896246
1537909200000,77797017
1537912800000,1469925
1537916400000,228056
1539183600000,105267923,1543454,102200408
1539187200000,107456068,1530725,104370620
1539190800000,105446860,1525661,102357972
1539194400000,106080884,1547784,102893495
1539198000000,107313586,1614259,104022906
1539201600000,107173185,1642641,103885625
1539205200000,108651880,1725081,105309918
1539208800000,105994351,1555489,102901390
1539212400000,99478331,1605523,96424874
1539216000000,92140668,1593578,89185593
1539219600000,84805171,1381769,82145890
1539223200000,74932851,1227433,72566928
1539226800000,65955079,1110571,63879016
1539230400000,59799712,1039567,57905004
1539234000000,58823694,960291,57050076
1539237600000,54612535,904572,53010532
1539241200000,50275247,763925,48873777
1539244800000,44507069,727699,43238538
1539248400000,46781019,779291,45440436
1539252000000,58050561,925397,56357083
1539255600000,78804932,1247353,76402633
1539259200000,89519864,1380605,86849748
1539262800000,93200951,1423640,90429734
1539266400000,102756300,1469660,99657709
1539270000000,107920344,594768,104688763
1539273600000,99303333,530876,96321398
1539277200000,113526194,632757,109967933
1539280800000,95455463,551369,92335948
1539284400000,90671363,605303,87488176
1539288000000,81157312,552541,78178672
1539291600000,158567794,849557,153303242
1539295200000,112787807,694833,108733180
1539298800000,102639471,622366,98756771
1539302400000,93928323,585087,90053725
1539306000000,90387955,585581,86397059
1539309600000,81799711,506768,78021299
1539313200000,72026566,434062,68593342
1539316800000,69180869,401857,65883730
1539320400000,65597433,369410,62576049
1539324000000,58969978,348485,56246284
1539327600000,54065997,247843,51692433
1539331200000,48779832,237757,46546735
1539334800000,51129422,240523,48717403
1539338400000,62423732,314855,59385144
1539342000000,83388502,430433,78627426
1539345600000,94993085,484424,86751380
1539349200000,100332258,426009,90922424
1539352800000,110658765,293830,84557274
1539356400000,117326761
1539360000000,118563628
1539363600000,66987801
1539367200000,127758
1548867600000,114664962,1977143,111390530
1548871200000,112946590,1973209,109688798
1548874800000,112957011,1933221,109706759
1548878400000,114900847,2017599,111531890
1548882000000,115319005,2057646,111950781
1548885600000,117524383,2076871,114180962
1548889200000,113207558,2102085,109911793
1548892800000,102341603,1922927,99331955
1548896400000,95005650,1832367,92149554
1548900000000,88313206,1709328,85631420
1548903600000,80619817,1639690,78101710
1548907200000,72537060,1541278,70219824
1548910800000,66132863,1325305,64092565
1548914400000,62059693,1203114,60171406
1548918000000,57417383,1163398,55647428
1548921600000,53984106,1059223,52350458
1548925200000,48854875,1074324,47252211
1548928800000,49861345,1056684,48286517
1548932400000,59042268,1235054,57194786
1548936000000,77739786,1632290,75257219
1548939600000,91990275,1772270,89215669
1548943200000,100288103,1729304,97191141
1548946800000,110094930,897327,106883288
1548950400000,114647214,891584,111313838
1548954000000,115216146,887328,111861327
1548957600000,114376780,905457,111016136
1548961200000,115479129,939238,111929334
1548964800000,117184132,947260,113442464
1548968400000,118255511,942788,114464963
1548972000000,121307998,984266,117458913
1548975600000,117292317,962632,113496778
1548979200000,106371612,906522,102809187
1548982800000,98754785,817677,95245638
1548986400000,91904150,769798,88518290
1548990000000,83434116,710794,80235621
1548993600000,74710210,638219,71727524
1548997200000,69992204,580946,67130673
1549000800000,64594497,535087,61888305
1549004400000,58737986,480451,56304357
1549008000000,54837978,453173,52524587
1549011600000,51305053,460269,48787355
1549015200000,53171793,449598,50695221
1549018800000,63962618,544056,60925807
1549022400000,86550314,708022,82361311
1549026000000,101158693,845181,95933258
1549029600000,106270575,862808,97792361
1549033200000,115360322,878579,105445662
1549036800000,120454106,585212,98750967
1549040400000,122033262
1549044000000,65619816
1549047600000,1487539
1543870800000,115558109,1650352,112718527
1543874400000,118582707,1780532,115633617
1543878000000,113993282,1733566,111166138
1543881600000,102302320,1632955,99670889
1543885200000,94080128,1496642,91636078
1543888800000,86044798,1356004,83808091
1543892400000,78480587,1313776,76352157
1543896000000,70418915,1137656,68569687
1543899600000,64005070,998619,62401498
1543903200000,60997534,976378,59432679
1543906800000,56387858,924240,54945644
